,시설명,"시(특별,광역)/도",시/군/구,도로명,위도,경도,정원,현원
87,노틀담형제의집,광주광역시,남구,오방로 4-1,35.1307957,126.9192113,58,58
88,신애원,광주광역시,남구,송암로 132,35.1080016,126.8793076,52,48
89,광주애육원,광주광역시,북구,북문대로 242번 40,35.1878911,126.8627527,60,51
90,광주돈보스코 나눔의집 (신안동),광주광역시,북구,자미로 42,35.1688112,126.9034043,20,16
91,용진육아원,광주광역시,광산구,복영길 24-19,35.2082,126.7509,69,50
92,광주나자렛집,광주광역시,광산구,비아안길 45-14,35.2211005,126.8165739,15,12
93,대전자혜원,대전광역시,동구,미래길16,36.3120051,127.4554285,48,32
94,평화의마을 아동복지센터,대전광역시,동구,가양로 85,36.3433944,127.4421392,54,31
95,성심원,대전광역시,동구,산내로386번길 8-26,36.2234472,127.4428803,57,28
96,늘사랑아동센터,대전광역시,중구,학고개로34번길 33,36.29812,127.4148,54,42
97,구세군 대전혜생원,대전광역시,서구,오량4길 61 (복수동),36.3094119,127.3773054,50,32
98,후생학원,대전광역시,서구,정림서로138번길 65-5 (정림동),36.299705,127.3643208,75,37
99,정림원,대전광역시,서구,정림동로30번길 15 (정림동),36.3039098,127.3687307,30,29
100,돈보스코의집,대전광역시,서구,구봉로 458-1 (정림동),36.3012736,127.3674424,15,9
101,시온보육원,대전광역시,서구,도솔로267번길 8 (내동),36.3353377,127.3764133,48,0
102,천양원,대전광역시,유성구,현충원로 473,36.3617346,127.2714968,72,34
103,성우보육원,대전광역시,대덕구,신탄진로 101,36.40005855,127.4221785,60,38
104,효광원,대전광역시,동구,산내로 1305번길 48,36.2385729,127.4684381,115,83
105,울산양육원,울산광역시,울주군,내곡능골길 129-18,35.5853949,129.1209154,150,113
106,영명보육원,세종특별자치시,연서면,월성로 239,36.5833924,127.2828699,48,18
107,경동원,경기도,수원시,광교산로 374번길 55,37.31855234,127.02039,54,38
108,꿈을키우는집,경기도,수원시,송정로 90번길 33-2,37.29430991,127.0082268,60,50
109,동광원,경기도,수원시,팔달로173번길25-5,37.28816535,127.0334758,49,48
110,수원나자렛집,경기도,수원시,반달로 62-1,37.28816535,127.0334758,15,12
111,선한사마리아원,경기도,처인구,처인성로398번길 30,37.2344161,127.2015165,55,37
112,신애원,경기도,고양시,통일로43-168,37.6172511,126.8363154,50,39
113,성육보육원,경기도,평택시,이충로 13번길 110,37.05822283,127.0640696,54,54
114,애향아동복지센터,경기도,평택시,서정역로 5,37.0080839,126.9767515,45,45
115,야곱의집,경기도,평택시,소사1길 33,37.0080839,126.9767515,30,28
116,안양의집,경기도,안양시,예술공원로 117번길 32,37.4189158,126.9229077,70,53
117,좋은집,경기도,안양시,예술공원로 52번길,37.410418,126.9140148,55,53
